longitude,latitude,elevation
17.0333333333,51.0650000000,127
17.0336111111,51.0650000000,127
17.0338888889,51.0650000000,127
17.0341666667,51.0650000000,126
17.0344444444,51.0650000000,125
17.0347222222,51.0650000000,125
17.0350000000,51.0650000000,124
17.0352777778,51.0650000000,124
17.0355555556,51.0650000000,125
17.0358333333,51.0650000000,125
17.0361111111,51.0650000000,125
17.0363888889,51.0650000000,125
17.0366666667,51.0650000000,125
17.0369444444,51.0650000000,125
17.0372222222,51.0650000000,124
17.0375000000,51.0650000000,124
17.0377777778,51.0650000000,124
17.0380555556,51.0650000000,124
17.0383333333,51.0650000000,124
17.0386111111,51.0650000000,124
17.0388888889,51.0650000000,125
17.0391666667,51.0650000000,125
17.0394444444,51.0650000000,125
17.0397222222,51.0650000000,123
17.0400000000,51.0650000000,121
17.0402777778,51.0650000000,121
17.0405555556,51.0650000000,121
17.0408333333,51.0650000000,121
17.0411111111,51.0650000000,121
17.0413888889,51.0650000000,121
17.0416666667,51.0650000000,121
17.0419444444,51.0650000000,121
17.0422222222,51.0650000000,121
17.0425000000,51.0650000000,122
17.0427777778,51.0650000000,123
17.0430555556,51.0650000000,123
17.0433333333,51.0650000000,123
17.0436111111,51.0650000000,123
17.0438888889,51.0650000000,123
17.0441666667,51.0650000000,123
17.0444444444,51.0650000000,122
17.0447222222,51.0650000000,122
17.0450000000,51.0650000000,121
17.0452777778,51.0650000000,121
17.0455555556,51.0650000000,121
17.0458333333,51.0650000000,121
17.0461111111,51.0650000000,122
17.0463888889,51.0650000000,122
17.0466666667,51.0650000000,121
17.0469444444,51.0650000000,121
17.0472222222,51.0650000000,121
17.0475000000,51.0650000000,122
17.0477777778,51.0650000000,123
17.0480555556,51.0650000000,122
17.0483333333,51.0650000000,121
17.0486111111,51.0650000000,121
17.0488888889,51.0650000000,120
17.0491666667,51.0650000000,120
17.0494444444,51.0650000000,120
17.0497222222,51.0650000000,120
17.0500000000,51.0650000000,121
17.0502777778,51.0650000000,121
17.0505555556,51.0650000000,122
17.0508333333,51.0650000000,122
17.0511111111,51.0650000000,121
17.0513888889,51.0650000000,121
17.0516666667,51.0650000000,121
17.0519444444,51.0650000000,121
17.0522222222,51.0650000000,122
